actor_1_name,gross
Richard Burton,36000000.0
Brian Thompson,35927406.0
Noah Taylor,35811509.0
Lauren Cohan,35794166.0
Stephen Rea,35777645.0
Violante Placido,35596227.0
Taylor Negron,35541044.0
Jon Seda,35422828.0
Debra Messing,35228696.0
Nicki Aycox,35143332.0
Kathleen Turner,35023294.0
Joseph Cotten,34900000.0
Mako,34900000.0
Armando Riesco,34889970.0
Robert Davi,34667015.0
Matt Price,34580635.0
Tony Curran,34548559.0
Jim Gaffigan,34534524.0
Ben Davies,34522221.0
Omari Hardwick,34414510.0
Sarah Polley,34236941.0
John Kapelos,33927476.0
Jennifer Jason Leigh,33856141.0
Callum Rennie,33734415.0
Kirk Cameron,33451479.0
Sally Hawkins,33404871.0
Barack Obama,33349949.0
Melina Kanakaredes,33328051.0
Catherine Hicks,33244684.0
Mathieu Kassovitz,33201661.0
Tina Desai,33071558.0
Jeremy Shada,32774834.0
Judie Aronson,32600000.0
Pamela Reed,32598931.0
Lily Atkinson,32553210.0
Emilia Fox,32519322.0
Marc Blucas,32474855.0
Richard Cabral,32453345.0
Alexis Arquette,32368960.0
Françoise Yip,32333860.0
David Jason Perez,32230907.0
Sullivan Stapleton,32131483.0
Jeff Fahey,32101000.0
Brittany Daniel,32079854.0
William McNamara,32051917.0
Marisa Saks,32014289.0
Richard Burgi,32003620.0
Janet Leigh,32000000.0
Nat Wolff,31990064.0
Angie Dickinson,31899000.0
Sam Shepard,31704416.0
Jack Davenport,31585300.0
Shelley Hennig,31537320.0
Nicholas Gonzalez,31526393.0
Ari Graynor,31487293.0
Christian Clemenson,31471430.0
Gerry Bednob,31452765.0
Clifton Collins Jr.,31393188.0
Frances Fisher,31317933.0
Willie Garson,31286130.0
Robert Baker,31199215.0
Augustus Prew,31136950.0
Noah Bean,30993544.0
50 Cent,30981850.0
Eddie Cibrian,30977478.0
Sean Pertwee,30897167.0
Jack Reynor,30659817.0
Sid Haig,30648144.0
Tika Sumpter,30513940.0
Blanchard Ryan,30500882.0
Austin Pendleton,30400000.0
Aaliyah,30307804.0
Christian Monzon,30222640.0
Shelley Conn,30212620.0
Jessie T. Usher,30127963.0
Cheryl Hines,30105968.0
Isaiah Washington,30079316.0
Fanny Ardant,30012990.0
Clu Gulager,30000000.0
Rick Yune,29986898.0
Jay Laga'aia,29975979.0
Rosie Perez,29781453.0
Lily Tomlin,29239123.0
David Keith,29200721.0
Josh Wingate,29136626.0
Daniel Mays,28995450.0
Harry Styles,28873374.0
Rip Torn,28718433.0
Kieran Culkin,28649826.0
Thomas F. Wilson,28603428.0
Jenny Agutter,28501605.0
Steve Irwin,28399192.0
Michael Smiley,28212088.0
Ken Arnold,28064226.0
Martin Starr,27947064.0
Zach Gilford,27845637.0
Jaime King,27834732.0
Caroline Dhavernas,27758465.0
Laila Haley,27736779.0
James Lafferty,27689474.0
Ruby Dee,27545445.0
Janet Jackson,27515786.0
Khandi Alexander,27332035.0
Sterling Jerins,27285953.0
Steven Mackintosh,27281507.0
William Holden,27200000.0
Hulk Hogan,26906039.0
Johnny Lewis,26876529.0
Craig Ferguson,26872749.0
Marley Shelton,26832953.0
Wood Harris,26803366.0
J.D. Evermore,26616999.0
Eoin Macken,26583369.0
Warren Beatty,26525834.0
Kim Director,26421314.0
Richard Wilson,26400000.0
Sierra McCormick,26161406.0
Elden Henson,26096584.0
America Ferrera,26091888.0
Sunny Mabrey,26082914.0
Curtis Armstrong,26057326.0
Mackenzie Davis,26049082.0
MyAnna Buring,26032205.0
James Kyson,25926543.0
Tyler James Williams,25771218.0
Justin Chon,25677097.0
Jessica Paré,25662242.0
James Nesbitt,25611458.0
Jere Burns,25590119.0
Kay Panabaker,25584685.0
Phil Vischer,25571351.0
Mike Epps,25482931.0
Dougray Scott,25472967.0
Elina Alminas,25440971.0
David Paymer,25436324.0
Ellar Coltrane,25359200.0
Lexie Contursi,25240988.0
Julian Richings,25239347.0
Malese Jow,25200412.0
Kevin Sussman,25077977.0
Farrah Fawcett,25000000.0
Nehemiah Persoff,25000000.0
Christine Taylor,24881000.0
Robert Shaw,24800000.0
Beth Grant,24755929.0
Peter Gallagher,24741700.0
Judith Chapman,24430272.0
Annabella Sciorra,24379028.0
Frank Whaley,24276500.0
Sonia Braga,24044532.0
Mara Wilson,24030538.0
Collette Wolfe,23993605.0
Alison Lohman,23847851.0
Alice Braga,23671374.0
Myrna Loy,23650000.0
Bill Bailey,23618786.0
Kasia Smutniak,23324666.0
Sasha Roiz,23219748.0
Hayden Christensen,22936528.0
Telly Savalas,22800000.0
Pfeifer Brown,22757819.0
Kevin Grevioux,22734486.0
Rainn Wilson,22526144.0
Joan Allen,22515286.0
Sissy Spacek,22495912.0
Kelsey Grammer,22452209.0
Gary Weeks,22331028.0
Carlos Ponce,22264487.0
Margaret Hamilton,22202612.0
Isaac Hayes,22201636.0
Lisa Wilcox,22168359.0
Max Minghella,22044645.0
Julian Morris,22016851.0
Aimee Garcia,21835784.0
Kurtwood Smith,21732190.0
Ricardo Darín,21388685.0
Elisabeth Harnois,21379315.0
David Zayas,21371425.0
Steven Bauer,21370057.0
Tiffany Helm,21300000.0
Mireille Enos,20999936.0
Mitch Pileggi,20981633.0
Erick Avari,20819129.0
Jeff Kober,20801344.0
Benjamin A. Onyango,20773070.0
John Beasley,20733485.0
Tony Nappo,20433940.0
Wendi McLendon-Covey,20339754.0
Bobbie Phillips,20302961.0
Sheryl Lee,20241395.0
John de Lancie,20210523.0
Ted Danson,20113965.0
Alona Tal,19692608.0
Fergie,19673424.0
Alden Ehrenreich,19445217.0
Pedro Armendáriz Jr.,19406406.0
Amanda Detmer,19351569.0
William Schallert,19281235.0
Philip Baker Hall,19206487.0
Nancy O'Dell,19184015.0
Chris Moss,19179969.0
William Hurt,19158074.0
Christina Milian,19118247.0
Betsy Palmer,19100000.0
Lew Temple,19067631.0
Caitlin Stasey,19059018.0
David Gant,18947630.0
Chris Zylka,18860403.0
Kelly Carlson,18843314.0
Roxanne McKee,18821279.0
Robert Clohessy,18600911.0
Tammin Sursok,18595716.0
Geoffrey Arend,18488314.0
John Gatins,18438149.0
Luke Newberry,18381787.0
Tim Meadows,18317151.0
Grace Phipps,18298649.0
Lochlyn Munro,17969502.0
Devin Ratray,17871573.0
Stephen Collins,17843379.0
Olivia Williams,17789458.0
Jason London,17757087.0
Warren Christie,17683670.0
Christopher Nicholas Smith,17536788.0
Phil Davis,17508670.0
Kimberly Elise,17474107.0
Bob Neill,17473245.0
Samaire Armstrong,17324744.0
Ashley Rickards,17314483.0
Amanda Schull,17174870.0
Shengyi Huang,17104669.0
Alexander Skarsgård,17099609.0
Jamie Kennedy,17010646.0
Woody Strode,17000000.0
Oliver Reed,16800000.0
Ornella Muti,16684352.0
Reba McEntire,16667084.0
Jason Priestley,16459004.0
Mike Howard,16377274.0
Paul Sorvino,16315694.0
Romola Garai,16210949.0
Joseph Gilgun,16110251.0
Ahna O'Reilly,16097842.0
Mary-Kate Olsen,16095410.0
Ursula Andress,16067035.0
Steve Oedekerk,16033556.0
Ed Skrein,16027866.0
Pam Ferris,16005978.0
Mustafa Haidari,15797907.0
Cole Hauser,15712072.0
Gretchen Mol,15539852.0
Andy Dick,15464026.0
Thomas Lennon,15408822.0
Claudia Christian,15361537.0
Tom Hughes,15294553.0
Byron Mann,15156200.0
Yaya DaCosta,15155772.0
Mia Farrow,15131330.0
Rumi Hiiragi,15081783.0
Mark Valley,14983572.0
Heather Matarazzo,14969766.0
Jurnee Smollett-Bell,14821531.0
Alan Ruck,14793904.0
Maika Monroe,14673301.0
Chris Marquette,14589444.0
Rosanna Arquette,14587732.0
Craig T. Nelson,14570602.0
Andrew Robinson,14564027.0
Tisha Campbell-Martin,14545844.0
Tom Atkins,14400000.0
Carol Kane,14375181.0
Richard Epcar,14358033.0
Talisa Soto,14294842.0
Paul Brooke,14131298.0
Gabriel Millman,14060950.0
Lee Majors,13903262.0
Naseeruddin Shah,13876974.0
Yuki Matsuzaki,13753931.0
Maribel Verdú,13622333.0
Ron Howard,13596911.0
Peter Serafinowicz,13464388.0
James Callis,13391174.0
Greg Germann,13367101.0
Jessica Lowndes,13350177.0
Joe Cocker,13300000.0
Aasif Mandvi,13214030.0
Daniel Stern,13034417.0
Meg Foster,13008928.0
Lena Horne,13000000.0
Bill Maher,12995673.0
Billy Campbell,12870569.0
Yuri Lowenthal,12701880.0
Peter Mensah,12610731.0
George Coe,12610552.0
Eric Sheffer Stevens,12555230.0
Blair Underwood,12339633.0
Peter Fonda,12247838.0
Taylor Cole,12232937.0
Marco Treviño,12188642.0
Jon Foo,11905519.0
Lea Michele,11860839.0
Chase Ellison,11703287.0
Danny Strong,11702090.0
Common,11694528.0
Takeshi Kaneshiro,11668037.0
Saffron Burrows,11576087.0
Sebastian Koch,11558956.0
Andy Lau,11546543.0
Alicia Goranson,11533945.0
Chemeeka Walker,11529368.0
Tasha Smith,11508423.0
Patricia Tallman,11501093.0
Jürgen Prochnow,11433134.0
Justin Theroux,11396858.0
Terry Pheto,11237111.0
Quinton Aaron,11169531.0
Trevor Morgan,11144518.0
Christopher Masterson,11000000.0
Tom Berenger,10999271.0
Tyler Labine,10965209.0
Ryan Kruger,10955425.0
Matt Smith,10907291.0
Indira Varma,10710174.0
Charles Napier,10686429.0
Mia Kirshner,10556196.0
Rebecca Budig,10494494.0
Oliver James,10411980.0
Monica Potter,10397365.0
Shah Rukh Khan,10341677.0
Joe Estevez,10305534.0
Shari Albert,10246600.0
Alex Kendrick,10174663.0
Brian Blessed,10161099.0
Leon,10149779.0
Ian Ziering,10137232.0
John Doe,10114315.0
Cameron Monaghan,10106233.0
Angell Conwell,10097096.0
Bunta Sugawara,10049886.0
Hiroshi Abe,10037390.0
Don Rickles,9975684.0
Lara Jill Miller,9628751.0
Aisha Tyler,9525276.0
Johannes Silberschneider,9473382.0
John Mahoney,9449219.0
Glen Hansard,9437933.0
Thomas McDonell,9402410.0
Ian Whyte,9353573.0
Brian Bosworth,9286314.0
Michael Stuhlbarg,9190525.0
Scott Baio,9109322.0
Richard Johnson,9030581.0
Vernon Wells,9003011.0
Scott Grimes,8888143.0
John Heard,8780002.0
Chris Klein,8742261.0
Meat Loaf,8708209.0
Jasper Cole,8460995.0
Ezra Miller,8409404.0
Katrina Bowden,8396942.0
Irvin Kershner,8373585.0
Eddie Izzard,8301740.0
Daniel Kaluuya,8129455.0
Seamus Davey-Fitzpatrick,8114507.0
Sophie Okonedo,8111360.0
Martin Dew,8093318.0
Debbie Reynolds,8054280.0
Bill Johnson,8025872.0
Jason Robards,8000000.0
Keenan Wynn,8000000.0
John Astin,7888703.0
William Gates,7830611.0
Dustin Milligan,7774730.0
Elizabeth Berrington,7757130.0
Moritz Bleibtreu,7743594.0
Thomas Kretschmann,7705581.0
Kathleen Wilhoite,7369373.0
William Baldwin,7362100.0
Jonathan Brandis,7292175.0
Angus Scrimm,7282851.0
Joel McHale,7204138.0
Geraldine Chaplin,7159147.0
S. Epatha Merkerson,7137502.0
Barry Corbin,7121697.0
Shahab Hosseini,7098492.0
Scott Cohen,7022940.0
Jennifer Hudson,7017178.0
Wesley Jonathan,7009668.0
Michel Robin,7002255.0
Chriss Anglin,7001720.0
M. Emmet Walsh,7000000.0
Dominic Flores,6998324.0
Lubna Azabal,6857096.0
Daniel Sharman,6842058.0
Brendan Fehr,6755271.0
Jill Clayburgh,6754898.0
David Margulies,6734844.0
Michael Greyeyes,6719300.0
Del Zamora,6712451.0
David Masterson,6615578.0
Tony Chiu Wai Leung,6594136.0
Emir Kusturica,6576177.0
Kevin Alejandro,6563357.0
Catalina Sandino Moreno,6517198.0
Gregory Scott Cummins,6482195.0
Clive Russell,6462576.0
Merab Ninidze,6173485.0
Denis Lavant,6167817.0
Roy Billing,6165429.0
Fran Drescher,6157157.0
Alessandro Nivola,6109075.0
Jeremy Davies,6107690.0
Ted Raimi,6096110.0
Kristin Lehman,6047856.0
Ian McDiarmid,6000000.0
Claude Rains,6000000.0
W. Earl Brown,5997134.0
Vernon Dobtcheff,5792822.0
Damián Alcázar,5709616.0
Tadanobu Asano,5701643.0
Santiago Cabrera,5669081.0
Tony Cox,5664251.0
Todd Giebenhain,5660084.0
Cheech Marin,5654777.0
Fernanda Montenegro,5595428.0
Tenzin Thuthob Tsarong,5532301.0
Larry David,5480230.0
Michael J. Pollard,5430822.0
Hanno Pöschl,5400000.0
Adriana Barraza,5383834.0
Barry Bostwick,5333658.0
Ginger Rogers,5300000.0
Joely Richardson,5231175.0
Robert Townsend,5228617.0
Matthew Settle,5217498.0
Hugh M. Hefner,5196396.0
Catherine Lough Haggquist,5132655.0
Melanie Griffith,5032496.0
Levon Helm,5023275.0
Cameron Bright,5005883.0
Flavio Parenti,5004648.0
Rock Hudson,5000000.0
Kenneth Tobey,5000000.0
Sheryl Crow,4946250.0
Julianna Guill,4930798.0
Anika Noni Rose,4922166.0
Louise Fletcher,4884663.0
Bridgette Wilson-Sampras,4777007.0
Mia Wasikowska,4716818.0
Marcela Mar,4584886.0
Romain Duris,4529941.0
Isabella Rossellini,4375806.0
Derek Luke,4291965.0
Mariah Carey,4273372.0
Nicholas Rowe,4250320.0
Molly Parker,4239767.0
Dylan Authors,4234040.0
Nawazuddin Siddiqui,4231500.0
Cem Yilmaz,4190530.0
Aunjanue Ellis,4186931.0
Callie Thorne,4142507.0
Iko Uwais,4105123.0
Lesley Manville,4071435.0
Florian Lukas,4063859.0
Michael Dudikoff,4000000.0
Lambert Wilson,3950029.0
Najarra Townsend,3885134.0
Parry Shen,3799339.0
Christopher Meloni,3798532.0
Randy Wayne,3773863.0
Cécile De France,3645438.0
Jean-Baptiste Maunier,3629758.0
Vanessa Lengies,3590010.0
Kristy Swanson,3559990.0
Min-sik Choi,3503143.0
Eric Stoltz,3460756.0
Aidan Quinn,3450545.0
Donald Glover,3447339.0
Marie-Josée Croze,3432342.0
Robert Picardo,3333823.0
Jason Mewes,3314721.0
Wanda Sykes,3293258.0
Antoni Corone,3273588.0
Alia Shawkat,3219029.0
Rupert Graves,3130592.0
Dyan Cannon,3123749.0
Melissa Sagemiller,3100650.0
Numan Acar,3093491.0
Don McKellar,3073392.0
Cliff Robertson,3060858.0
Michael McKean,3034181.0
John Cameron Mitchell,3029081.0
Paul McGill,2957978.0
Gladys Cooper,2956000.0
Chris Eigeman,2938208.0
Bebe Neuwirth,2882062.0
Stacy Edwards,2856622.0
Alanna Ubach,2850263.0
Robyn Lively,2848578.0
Toni Servillo,2835886.0
Anita Page,2808000.0
Lawrence Gilliard Jr.,2712293.0
Tom Burke,2708188.0
Collin Alfredo St. Dic,2601847.0
Danny Pino,2483955.0
Seth Gilliam,2474000.0
Isabelle Adjani,2353728.0
Ari Folman,2283276.0
Donny Boaz,2246000.0
Eddie Griffin,2223990.0
Ulrich Tukur,2222647.0
Doona Bae,2201412.0
Gillian White,2185266.0
Sam Waterston,2154540.0
Mike Tyson,2126511.0
Darci Kistler,2119994.0
Katy Mixon,2111155.0
Belén Rueda,2086345.0
Victor Rasuk,2073984.0
Terry Funk,2047570.0
Carlos Gallardo,2040920.0
Dameon Clarke,2035566.0
Chelcie Ross,2025238.0
Emily Podleski,2024854.0
Tippi Hedren,2000000.0
Mary Elizabeth Mastrantonio,1997807.0
Mía Maestro,1991435.0
Ian McNeice,1987287.0
Sook-Yin Lee,1984378.0
Kim Dickens,1980338.0
Nicole Ari Parker,1977544.0
Ally Walker,1943649.0
Nathalie Fay,1768416.0
Alex Rocco,1705139.0
Emily Rios,1689999.0
Michael Berryman,1669325.0
Simon Abkarian,1652472.0
Ulrich Thomsen,1647780.0
Damon Wayans,1646664.0
Miranda Richardson,1641788.0
Brenda Fricker,1569918.0
Mark Zupan,1523883.0
David Richmond-Peck,1506998.0
Konstantin Khabenskiy,1487477.0
Kevin Corrigan,1431334.0
Terry Kiser,1400000.0
Mem Ferda,1357042.0
Robin Lord Taylor,1316074.0
Kimberly J. Brown,1281176.0
Omar Sy,1260917.0
James Wolk,1243961.0
Tommy Pallotta,1227508.0
Burt Young,1200000.0
David Belle,1197786.0
Aksel Hennie,1196752.0
Zoe Kazan,1186957.0
Anamaria Marinca,1185783.0
Marco St. John,1183354.0
Adam LeFevre,1141829.0
John F. Kennedy,1134049.0
Marina Golbahari,1127331.0
Rachel True,1114943.0
Dana Delany,1100000.0
Noah Danby,1098224.0
Yasmine Al Massri,1060591.0
Alexis Dziena,1056102.0
Scott Mechlowicz,1055654.0
Gary Lewis,1050445.0
Andrew Wilson,1040879.0
Dan Futterman,1027119.0
John Boyega,1024175.0
Odessa Rae,1007962.0
Allison Dean,1001437.0
Sasha Alexander,985341.0
Sonja Sohn,982214.0
Megan Park,952620.0
Bahare Seddiqi,925402.0
Rachel Dratch,906666.0
Purva Bedi,902835.0
Elpidia Carrillo,886410.0
Q'orianka Kilcher,883887.0
James Brolin,876671.0
Sam Riley,871577.0
Stephanie Leonidas,864959.0
Eamonn Walker,860002.0
John Robinson,856942.0
Stephen Graham,797857.0
Campbell Scott,795126.0
Phoebe Legere,792966.0
Jan Decleir,713413.0
Beau Bridges,712294.0
Christian Clavier,700000.0
Sean Lennon,686383.0
Fereshteh Sadre Orafaiy,673780.0
Celia Imrie,671240.0
Dong-gun Jang,668171.0
Long Nguyen,638951.0
Jeremy W. Auman,630779.0
Julia Jentsch,617228.0
Tom Cullen,613600.0
Qi Shu,613556.0
Jean-Pierre Léaud,611709.0
Thomas Bo Larsen,610968.0
Jason Marsden,594904.0
Greg Ayres,592014.0
Shirley Henderson,586597.0
Trey Parker,582024.0
Bashar Rahal,578527.0
Lena Dunham,567964.0
Yorick van Wageningen,542860.0
Matt Bennett,535249.0
Paul McCartney,515005.0
Sara Forestier,513836.0
Christo Jivkov,499263.0
David Hewlett,489220.0
Wei Zhao,488872.0
Anwar Congo,484221.0
Steve Howey,480314.0
Sarunyu Wongkrachang,454255.0
Lynn Cohen,453782.0
Logan Browning,444044.0
Mitsuo Iwata,439162.0
Shane Carruth,424760.0
William Hootkins,410388.0
John Howard,399879.0
Alex Huszar,375723.0
Paul Guilfoyle,373967.0
Vincent Gallo,365734.0
Phyllida Law,352786.0
Paz de la Huerta,336467.0
Edie Falco,334041.0
Kirk Fox,325491.0
Dreama Walker,318622.0
Jørgen Langhelle,313436.0
Eva Amurri Martino,303439.0
Peter McNamara,302204.0
Jelena Jovanova,301305.0
Alexia Fast,298110.0
Josh Swanson,287761.0
Shiri Appleby,279282.0
Derick Martini,277233.0
Alex Gibney,274661.0
Takashi Shimura,269061.0
Lauren Ambrose,265107.0
Daniel London,255352.0
Otto Jespersen,252652.0
Monica Calhoun,243347.0
Paul Schneider,241816.0
Danny Dyer,240689.0
Kip Pardue,228524.0
Isabelle Huppert,225377.0
Laura Morante,223878.0
Charis Michelsen,203134.0
Michael Gross,200803.0
Brad William Henke,198407.0
Samantha Morton,197148.0
Marcell Nagy,195888.0
Jessy Schram,194568.0
Amir Talai,191309.0
François Cluzet,183662.0
Divine,180483.0
Jossara Jinaro,178739.0
Stacy Keach,171988.0
Paulette Goddard,163245.0
Temple Grandin,155984.0
Luis Tosar,146402.0
James Duval,145540.0
Lars Mikkelsen,145109.0
Kevin Pollak,144583.0
Pelé,144431.0
Matt Cohen,143000.0
Maggie Cheung,136007.0
Kang-ho Song,128486.0
Catriona MacColl,126387.0
Jeffrey Falcon,124494.0
Ye Liu,119922.0
Rupert Grint,117190.0
Brendan Doogie Milewski,111300.0
Fay Masterson,110536.0
Deborah Mailman,110029.0
Nirut Sirichanya,102055.0
Adrian Martinez,100503.0
Dustin Lance Black,99851.0
Haley Ramm,98017.0
Matthew Ziff,96734.0
Alicja Bachleda,95016.0
Stephanie Szostak,92900.0
Sarah Butler,92401.0
John August,85222.0
Carole Bouquet,81525.0
Leonor Varela,75727.0
Anna Friel,75078.0
Si Won Choi,72413.0
Mike Figueroa,65087.0
Nora Zehetner,62480.0
Brighton Sharbino,59379.0
Lemmy,58936.0
Noah Emmerich,58214.0
Chris Gauthier,56129.0
Monique Gabriela Curnen,52850.0
Nolan Gerard Funk,49494.0
Simon Yam,49413.0
Raymond J. Barry,47329.0
Bjørn Sundquist,41709.0
Karra Elejalde,38108.0
Zak Penn,36830.0
Tori Spelling,31937.0
Wagner Moura,28322.0
Jonathan D. Mellor,27024.0
Brigitte Helm,26435.0
John Karyus,23000.0
Lindsay Kay Hayward,22770.0
Harvey Fierstein,21210.0
Justin Kirk,20186.0
Alice Olivia Clarke,19959.0
Connor Paolo,18469.0
Karl E. Landler,18435.0
Richard Coyle,17149.0
Elaine Hendrix,15593.0
Gavin MacLeod,15278.0
Jacqueline McKenzie,13751.0
America Olivo,12843.0
Glenn Plummer,10696.0
Jordana Spiro,10018.0
Rita Hayworth,7927.0
Benno Fürmann,5725.0
Drew Fuller,5561.0
Don Wallace,5199.0
Rapulana Seiphemo,4958.0
Jim Carter,3607.0
Stephen McHattie,3478.0
Tatyana Ali,2468.0
Kate Maberly,2436.0
Darryl Hunt,1111.0
